Word,Freq,Rank
மற்றும்,2015,1
ஆம்,1520,2
அல்லது,1041,3
வேண்டும்,1031,4
அவர்,793,5
திகதி,747,6
உத்தியோகத்தர்,706,7
கீழ்,639,8
செயலாளர்,602,9
தொடர்பாக,510,10
இலக்கம்,467,11
பெற்றுக்,466,12
மூலம்,459,13
மேற்படி,451,14
ஒரு,407,15
கல்வி,405,16
கெளரவ,378,17
பிரதேச,359,18
2,355,19
இந்த,346,20
அரச,344,21
உரிய,341,22
தேசிய,338,23
பணிப்பாளர்,333,24
அபிவிருத்தி,324,25
இலக்க,323,26
இலங்கை,302,27
அரசாங்க,301,28
1,296,29
நிதி,292,30
யாது,282,31
போது,279,32
யாவை,266,33
சேவை,260,34
குறித்த,260,35
நடவடிக்கை,259,36
எண்ணிக்கை,255,37
சட்டத்தின்,253,38
தேவையான,252,39
பிரிவின்,249,40
அமைச்சின்,248,41
கேட்பதற்கு,244,42
திகதிய,243,43
முடியும்,241,44
ஒருவர்,238,45
விசேட,232,46
எம்,228,47
அமைச்சரைக்,223,48
02,222,49
எவ்வளவு,221,50
அறிவிப்பாரா,215,51
மாவட்ட,212,52
தொடர்பான,211,53
மாதம்,208,54
உங்கள்,207,55
ஆந்,207,56
கடன்,205,57
பற்றிய,203,58
திரு,201,59
3,200,60
மாகாண,199,61
வேண்டிய,198,62
ஏனைய,196,63
என்பதை,196,64
விடயம்,195,65
செய்யப்பட்ட,192,66
சகல,188,67
ஆண்டின்,187,68
முதல்,182,69
எனது,180,70
அத்தகைய,180,71
சம்பள,179,72
கொண்ட,179,73
அந்த,179,74
பாடசாலை,179,75
ரூபா,178,76
வரை,176,77
என்பதையும்,174,78
சட்டமூலம்,173,79
அமைச்சு,172,80
சபை,172,81
இத்துடன்,170,82
தயவுடன்,170,83
செய்தல்,169,84
உதவி,169,85
ப,168,86
  ,166,87
குறிப்பிடுவாரா,164,88
அதன்,164,89
செய்து,162,90
பிரிவு,162,91
புதிய,162,92
அனைத்து,158,93
கடிதம்,157,94
ஆண்டு,156,95
பொது,156,96
ஏ,155,97
இச்சபைக்கு,155,98
தனது,155,99
திணைக்களத்,151,100
சமூக,151,101
முன்னர்,150,102
அறிக்கை,147,103
2011,144,104
பி,143,105
உள்ள,141,106
தயவாய்,139,107
பிரதி,139,108
பின்னர்,138,109
முன்,137,110
கிராம,137,111
பயிற்சி,136,112
பதவி,136,113
அது,135,114
மேலதிக,134,115
எஸ்,134,116
அ,133,117
சம்பளம்,131,118
பெயர்,131,119
பீ,130,120
03,129,121
லீவு,129,122
சேவைகள்,128,123
கொண்டு,128,124
